comparison_id,location,handshape,orientation,movement,notes,round,
1017,,,,,,2,
1021,,,,,,2,
1025,,,,,,2,
1027,,,,,,2,
1028,,,,,,2,
1036,,,,,,2,
1041,,,,,,2,
1046,,,,,,2,
1047,,,,,,2,
1058,,,,,,2,
1063,,,,,,2,
1069,,,,,,2,
1085,,,,,,2,
1092,,,,,,2,
1093,,,,,,2,
1097,,,,,,2,
1100,,,,,,2,
1105,,,,,,2,
1107,,,,,,2,
1108,,,,,,2,
1112,,,,,,2,
1115,,,,,,2,
1124,,,,,,2,
1128,,,,,,2,
1129,,,,,,2,
1132,,,,,,2,
1136,,,,,,2,
1140,,,,,,2,
1144,,,,,,2,
1147,,,,,,2,
1150,,,,,,2,
1161,,,,,,2,
1168,,,,,,2,
1175,,,,,,2,
1180,,,,,,2,
1184,,,,,,2,
1186,,,,,,2,
1190,,,,,,2,
1191,,,,,,2,
1196,,,,,,2,
1197,,,,,,2,
1198,,,,,,2,
1201,,,,,,2,
1210,,,,,,2,
1212,,,,,,2,
1214,,,,,,2,
1215,,,,,,2,
1221,,,,,,2,
1226,,,,,,2,
1230,,,,,,2,
1233,,,,,,2,
1234,,,,,,2,
1246,,,,,,2,
1255,,,,,,2,
1256,,,,,,2,
1257,,,,,,2,
1260,,,,,,2,
1268,,,,,,2,
1274,,,,,,2,
1275,,,,,,2,
1279,,,,,,2,
1280,,,,,,2,
1283,,,,,,2,
1286,,,,,,2,
1290,,,,,,2,
1299,,,,,,2,
1303,,,,,,2,
,,,,,,2,
,,,,,,2,
