comparison_id,location,handshape,orientation,movement,notes,round
983,2,0,0,0,,1
997,4,5,4,4,,1
1000,1,2,0,0,,1
1004,4,3,0,3,"left pp uses both hands, right pp only LH",1
1013,3,2,3,3,"left pp uses both hands, right pp only LH",1
1020,4,4,4,4,,1
1032,5,2,1,2,,1
1055,4,3,3,4,"left pp uses both hands, right pp only RH",1
1068,1,4,3,1,,1
1070,1,3,0,1,,1
1072,0,3,1,2,"left pp uses both hands, right pp only LH",1
1077,3,5,4,5,,1
1082,4,4,4,5,,1
1099,1,3,0,0,,1
1152,5,4,5,5,,1
1156,4,1,0,0,,1
1157,0,0,0,0,,1
1172,2,0,0,4,movement is mirrored,1
1174,5,4,5,4,gesture is mirrored,1
1195,0,2,2,0,,1
1209,3,2,1,2,,1
1248,3,3,1,3,gesture is mirrored,1
1250,4,5,5,4,,1
1254,3,4,4,4,,1
1272,3,1,1,3,,1
1302,2,0,1,4,,1
2,1,3,2,1,,2
9,3,0,0,0,mirrored,2
16,5,4,4,4,,2
19,5,4,5,5,,2
21,3,1,2,0,"left pp used both hands, right pp only RH",2
24,3,2,0,2,mirrored,2
29,2,0,0,1,,2
30,3,4,0,4,mirrored,2
31,5,4,5,2,"left pp used both hands, right pp only RH",2
34,5,0,1,1,,2
38,5,1,1,4,mirrored,2
43,3,0,0,0,hand person on the right is partially covered by her cardigan (therefore handshape/orientation hard to see exactly),2
51,5,4,4,5,,2
54,4,5,5,5,,2
57,5,2,4,3,,2
62,1,0,0,0,"hands person on the right are partially covered by her cardigan, so handshape/orientation can't be determined properly",2
70,0,1,1,0,"righ pp uses both hands, left pp only RH, therefore hard to rate (handshape RH of both persons matches a little)",2
78,5,0,1,2,trajectory movement somewhat similar,2
80,5,5,4,3,,2
83,5,5,5,5,,2
96,3,5,5,5,,2
97,1,4,2,5,,2
99,3,4,1,3,,2
102,4,5,4,5,,2
106,3,0,0,4,,2
107,2,2,0,0,,2
114,5,0,0,4,mirrored,2
115,4,2,1,2,"right pp uses both hands, left pp only RH",2
118,5,5,5,5,,2
121,4,2,3,5,,2
125,3,5,5,5,,2
127,2,2,0,3,"left pp uses both hands, right pp only LH, trajectory movement kind of similar",2
133,5,4,5,2,,2
136,5,1,4,4,mirrored,2
139,5,0,0,3,location: they cover the same area but in a different way,2
148,5,5,0,4,,2
152,4,4,4,5,,2
155,4,4,2,3,"left pp uses both hands, right pp only RH",2
159,5,3,3,3,,2
161,5,0,4,5,,2
163,5,1,1,2,,2
171,5,4,3,5,,2
181,2,3,2,2,"left pp uses both hands, right pp only RH",2
182,5,4,5,5,,2
184,4,1,2,1,,2
187,4,1,1,0,,2
198,5,5,1,5,,2
199,2,3,1,1,,2
209,0,0,0,0,,2
210,3,0,0,0,,2
222,5,3,5,5,"left pp uses both hand, right pp only left hand, mirrored",2
225,3,3,2,2,"left pp uses both hand, right pp only left hand, mirrored",2
227,5,4,5,4,,2
230,5,5,5,5,,2
231,5,0,0,2,,2
245,1,3,5,0,"right pp used both hands, left person only left hand",2
248,0,0,0,0,,2
250,5,3,1,3,,2
252,5,5,5,5,,2
257,0,0,0,0,,2
262,4,0,3,3,"right pp uses both hands, left person only left hand",2
274,5,0,0,4,mirrored,2
277,5,5,5,5,,2
282,3,4,2,0,,2
283,4,3,5,2,,2
286,2,3,1,3,,2
287,3,5,5,2,,2
292,4,3,4,0,,2
295,4,1,2,0,mirrored,2
298,4,0,0,2,,2
306,5,4,0,4,mirrored,2
308,5,2,3,4,,2
316,2,5,2,0,,2
318,5,2,0,2,,2
322,4,3,4,2,,2
329,4,0,0,3,"left pp uses both hands, right pp uses only RH",2
333,2,4,2,0,,2
336,3,0,1,0,,2
